# Time, VRMS, Nu
1.374955451106328857e-04 9.959656114732736043e+00 4.828161317315183396e+02
1.389116019313026520e-04 9.959707532094776994e+00 4.828116905000438805e+02
1.403276393417972909e-04 9.959758902074431930e+00 4.828072840783351012e+02
1.417436573895561769e-04 9.959810225665837180e+00 4.828027761347484557e+02
1.431596573768865847e-04 9.959861503736524568e+00 4.827983077462735650e+02
1.445756393614898081e-04 9.959912737201591426e+00 4.827937277446796429e+02
1.459916046927010414e-04 9.959963926858396377e+00 4.827891916933715493e+02
1.474075534411317429e-04 9.960015073556661491e+00 4.827845345136028072e+02
1.488234869984987867e-04 9.960066178036104390e+00 4.827799253412679832e+02
1.502394054510515400e-04 9.960117241091897000e+00 4.827751860899666099e+02
1.516553102278854785e-04 9.960168263415653200e+00 4.827704985650227627e+02
1.530712014336825175e-04 9.960219245756295692e+00 4.827656725677833265e+02
1.544870805295847909e-04 9.960270188764852151e+00 4.827609016831199256e+02
1.559029476415288050e-04 9.960321093150636074e+00 4.827559844802997873e+02
1.573188042570951262e-04 9.960371959529737751e+00 4.827511254482724325e+02
1.587346505262691662e-04 9.960422788576554609e+00 4.827461127825624203e+02
1.601504879572175904e-04 9.960473580877145849e+00 4.827411610383287552e+02
1.615663167267502730e-04 9.960524337074916801e+00 4.827360488568015171e+02
1.629821383575566593e-04 9.960575057729464277e+00 4.827310000475542893e+02
1.643979530559778785e-04 9.960625743456487768e+00 4.827257844954414168e+02
1.658137623530385864e-04 9.960676394791729393e+00 4.827206344783405711e+02
1.672295664871583374e-04 9.960727012325373053e+00 4.827153118924699129e+02
1.686453669914293068e-04 9.960777596571693593e+00 4.827100567332373089e+02
1.700611641387777347e-04 9.960828148097213841e+00 4.827046236393995287e+02
1.714769594580408719e-04 9.960878667396579900e+00 4.826992596071301023e+02
1.728927532589157566e-04 9.960929154999664803e+00 4.826937127107984793e+02
1.743085466500982061e-04 9.960979611297160474e+00 4.826882362876749539e+02
1.757243375773435881e-04 9.961030036814081612e+00 4.826825724886992930e+02
1.771401275854874509e-04 9.961080432006532703e+00 4.826769803532668561e+02
1.785559169660300984e-04 9.961130797379725621e+00 4.826711967297967476e+02
1.799717072479715203e-04 9.961181133373601781e+00 4.826654857518325343e+02
1.813874987656568984e-04 9.961231440474037413e+00 4.826595795515364671e+02
1.828032930261297190e-04 9.961281719105901544e+00 4.826537467804760126e+02
1.842190904084320218e-04 9.961331969736509251e+00 4.826477154097859739e+02
1.856348923916640691e-04 9.961382192776101263e+00 4.826417580997830328e+02
1.870506994010484895e-04 9.961432388673831184e+00 4.826355991341956155e+02
1.884665128819638491e-04 9.961482557825984685e+00 4.826295147072557938e+02
1.898823333070954610e-04 9.961532700663878970e+00 4.826232259064125856e+02
1.912981620824710175e-04 9.961582817570397097e+00 4.826170119624418362e+02
1.927139997293216890e-04 9.961632908959440869e+00 4.826105912275860987e+02
1.941298476089874710e-04 9.961682975200861989e+00 4.826042455651341356e+02
1.955457062919177861e-04 9.961733016691335152e+00 4.825976909617294268e+02
1.969615770897463513e-04 9.961783033788092823e+00 4.825912115368964805e+02
1.983774606226024401e-04 9.961833026870859698e+00 4.825845212983597889e+02
