# Time, VRMS, Nusselt
2.521874118510000068e-02 2.977204370939999833e+01 1.035970840060000064e+00
2.524984819160000157e-02 2.977771153999999854e+01 1.035952291649999912e+00
2.528096939209999866e-02 2.980826322880000134e+01 1.035933810079999962e+00
2.531208840010000169e-02 2.981450833070000073e+01 1.035915405439999937e+00
2.534322134460000042e-02 2.984560487719999955e+01 1.035897068569999968e+00
2.537435182620000063e-02 2.985242736589999879e+01 1.035878809519999999e+00
2.540549598169999923e-02 2.988406783050000115e+01 1.035860619209999944e+00
2.543663742880000050e-02 2.989146787459999999e+01 1.035842507599999962e+00
2.546779228249999860e-02 2.992365043230000055e+01 1.035824465709999975e+00
2.549894420610000073e-02 2.993162820370000077e+01 1.035806503429999914e+00
2.553010926420000090e-02 2.996435009960000073e+01 1.035788611899999934e+00
2.556127119409999995e-02 2.997290571799999981e+01 1.035770800879999953e+00
2.559244598190000067e-02 3.000616322220000143e+01 1.035753061649999918e+00
2.562361746580000058e-02 3.001529669410000167e+01 1.035735403869999960e+00
2.565480152690000071e-02 3.004908505670000096e+01 1.035717818950000035e+00
2.568598213029999952e-02 3.005879620789999862e+01 1.035700316420000044e+00
2.571717502589999926e-02 3.009310961499999948e+01 1.035682887859999957e+00
2.574836433100000099e-02 3.010339801809999827e+01 1.035665542630000102e+00
2.577956563959999878e-02 3.013822954780000174e+01 1.035648272510000023e+00
2.581076324509999978e-02 3.014909444379999925e+01 1.035631086700000036e+00
2.584197256190000000e-02 3.018443602429999828e+01 1.035613977169999922e+00
2.587317808230000030e-02 3.019587623840000035e+01 1.035596952919999980e+00
2.590439501840000047e-02 3.023171860800000132e+01 1.035580006150000010e+00
2.593560808330000120e-02 3.024373246029999862e+01 1.035563145680000074e+00
2.596683226549999918e-02 3.028006512920000048e+01 1.035546363919999990e+00
2.599805251899999989e-02 3.029265034089999986e+01 1.035529669480000026e+00
2.602928358889999849e-02 3.032946155630000007e+01 1.035513055000000016e+00
2.606051068930000103e-02 3.034261515089999861e+01 1.035496528899999991e+00
2.609174830310000137e-02 3.037989186540000119e+01 1.035480084040000026e+00
2.612298192200000063e-02 3.039361006649999908e+01 1.035463728639999914e+00
2.615422574949999995e-02 3.043133790970000163e+01 1.035447455799999972e+00
2.618546557139999828e-02 3.044561603709999886e+01 1.035431273519999973e+00
2.621671529580000062e-02 3.048377929489999971e+01 1.035415175150000033e+00
2.624796101739999832e-02 3.049861166139999824e+01 1.035399168449999907e+00
2.627921633480000130e-02 3.053719326399999900e+01 1.035383247049999955e+00
2.631046766440000087e-02 3.055257305419999980e+01 1.035367418479999913e+00
2.634172828310000006e-02 3.059155454209999903e+01 1.035351676619999939e+00
2.637298494039999955e-02 3.060747371620000123e+01 1.035336028759999971e+00
2.640425058029999966e-02 3.064683525179999890e+01 1.035320469049999970e+00
2.643551229550000076e-02 3.066328443569999962e+01 1.035305004560000075e+00
2.646678268769999884e-02 3.070300479750000022e+01 1.035289629690000046e+00
2.649804920110000045e-02 3.071997317969999841e+01 1.035274351270000004e+00
2.652932408760000013e-02 3.076002976759999896e+01 1.035259163979999952e+00
2.656059514889999931e-02 3.077750500049999971e+01 1.035244074419999993e+00
2.659187428180000146e-02 3.081787384840000144e+01 1.035229077509999929e+00
2.662314965010000034e-02 3.083584195659999949e+01 1.035214179640000065e+00
