# Steps, Time, visc, Nusselt bottom/top, av_T, vrms, surf_rms, surf_max, grav, etamax, etamin
5.139800000000000000e+04 6.338295601795885803e-01 2.136713726953384764e+02 3.074490206513957880e+00 2.821415028420777737e+00 6.671781416138855558e-01 6.018716784888567162e+01 7.785885154236418693e+00 9.417395091210835290e+00 2.137625388455822950e+00 1.955361127683753919e+00 1.336822897405828836e-04
5.149800000000000000e+04 6.347544671041890352e-01 2.178933534495352262e+02 3.086950248953225895e+00 2.844131546286146062e+00 6.674158876724869405e-01 6.041844210588558184e+01 8.225357114922100976e+00 9.921306866652537693e+00 2.179691422883442975e+00 1.950684719907510356e+00 1.325508281142967774e-04
5.159800000000000000e+04 6.356781469477444935e-01 2.226521936888546804e+02 3.100188366201140688e+00 2.869543800500872877e+00 6.676430992942516962e-01 6.067741746590335339e+01 8.727009410939492895e+00 1.049582535321410859e+01 2.226990369607876552e+00 1.952064705533522293e+00 1.312353018015371573e-04
5.169800000000000000e+04 6.366002869979382472e-01 2.280718330409208932e+02 3.113791255548121306e+00 2.898122325357668672e+00 6.678591340828530232e-01 6.097217204248416778e+01 9.305867636000996868e+00 1.115814888290648277e+01 2.288719059201364203e+00 1.954896504632450238e+00 1.299915394854892772e-04
5.179800000000000000e+04 6.375206272473065150e-01 2.343284745537767719e+02 3.129132469631612512e+00 2.930490330865846538e+00 6.680603747123534664e-01 6.130414902349163242e+01 9.986263687475886996e+00 1.193150530033487655e+01 2.345460275324390942e+00 1.951770951956557809e+00 1.286733047332245410e-04
5.189800000000000000e+04 6.384390985369244875e-01 2.416569596747432911e+02 3.147472543439638226e+00 2.967494849445619920e+00 6.682414750463252506e-01 6.167591600383079253e+01 1.079119334848034484e+01 1.284989492943644862e+01 2.400038580055950721e+00 1.951576407914581868e+00 1.273106894694445081e-04
5.199800000000000000e+04 6.393551865556968972e-01 2.503915132259886605e+02 3.166676547374034811e+00 3.010303662981647754e+00 6.684035470299315440e-01 6.213023566432347167e+01 1.176278390661305728e+01 1.395694797222994588e+01 2.496832823923929467e+00 1.958100429191581338e+00 1.258530423849359636e-04
5.209800000000000000e+04 6.402682809797399788e-01 2.610489680598305426e+02 3.188767052532199386e+00 3.060541443634224201e+00 6.685409500608511246e-01 6.267533251263703420e+01 1.296071928246854732e+01 1.531947951439540212e+01 2.600114605518075273e+00 1.959005666047059613e+00 1.243853370127713097e-04
5.219800000000000000e+04 6.411776266619593212e-01 2.743840257193355683e+02 3.214192044136152226e+00 3.120560718562230385e+00 6.686489178353203222e-01 6.336276468797846206e+01 1.447006592238391320e+01 1.703266053381270240e+01 2.737259660867596978e+00 1.961111447911219718e+00 1.226385767610206981e-04
5.229800000000000000e+04 6.420819943349932446e-01 2.915785002791141096e+02 3.244150508887127415e+00 3.193840832981663880e+00 6.687216577201697820e-01 6.426515127303611052e+01 1.641910095373637546e+01 1.923932447113245559e+01 2.913803376727501337e+00 1.965466759946813413e+00 1.207455206866835990e-04
5.239800000000000000e+04 6.429799407152576585e-01 3.144658864102720486e+02 3.281044722417715498e+00 3.285736707008641400e+00 6.687498675576352136e-01 6.549230248629851303e+01 1.900596531750665363e+01 nan 3.144655697127270777e+00 1.962079407866401892e+00 1.186108110814250362e-04
5.249800000000000000e+04 6.438689205880804289e-01 3.458929745455455418e+02 3.327897796713794154e+00 3.404609850329531007e+00 6.687219644804196506e-01 6.722653552507030383e+01 2.252016708585066951e+01 nan 3.458682998140854004e+00 1.973122696770376550e+00 1.161666691067491047e-04
5.259800000000000000e+04 6.447456208806857658e-01 3.901583203989815729e+02 3.389849892773673545e+00 3.563868593911306171e+00 6.686203991403508740e-01 6.975135010519117884e+01 2.737562926326172175e+01 nan 3.901850785665776478e+00 1.978024679781466677e+00 1.130516148091157531e-04
5.269800000000000000e+04 6.456053003287182124e-01 4.530218660327867042e+02 3.474262692723005586e+00 3.784703158382357380e+00 6.684212866556996646e-01 7.345848760968637237e+01 3.406848644615970301e+01 nan 4.537963468911686782e+00 1.973446305716056948e+00 1.093574059925349909e-04
5.279800000000000000e+04 6.464420332421519921e-01 5.400026122503554689e+02 3.591539544196420408e+00 4.098328151068896474e+00 6.680910795106046463e-01 7.870703924321107081e+01 4.294927182465466586e+01 nan 5.415037471289126714e+00 1.979136730306480629e+00 1.049299418745929923e-04
5.289800000000000000e+04 6.472503677012533263e-01 6.508750848198446874e+02 3.754062387151793523e+00 4.541649557143419891e+00 6.675820323626560082e-01 8.542072482172589787e+01 5.365811951658928791e+01 nan 6.541226490181635711e+00 1.978998267200734018e+00 1.000343328191515767e-04
5.299800000000000000e+04 6.480284319702640516e-01 7.717226846822850348e+02 3.968370147957122285e+00 5.131420077783830358e+00 6.668361382688599015e-01 9.243384884478886931e+01 6.445077697967725783e+01 nan 7.740762470443129928e+00 1.977990148740493614e+00 9.541887543315972055e-05
5.309800000000000000e+04 6.487810589038874864e-01 8.746228720265631864e+02 4.226968138193329949e+00 5.814516119605954714e+00 6.658079117634809752e-01 9.772781950806648865e+01 7.244782104835304892e+01 nan 8.784777068658069510e+00 1.978291208554544101e+00 9.206575798773820245e-05
5.319800000000000000e+04 6.495208160636488648e-01 9.340389434378511169e+02 4.511548369709061923e+00 6.461502503682379661e+00 6.644903937999032673e-01 9.955204439792625237e+01 7.556472880806293801e+01 nan 9.313558085501227879e+00 1.959745343007564644e+00 9.075678974490149708e-05
5.329800000000000000e+04 6.502630481635160997e-01 9.421916971891450885e+02 4.787311870970558658e+00 6.953671655610238034e+00 6.629558441115561696e-01 9.784038703342166343e+01 7.385401344134761814e+01 nan 9.501210590555814406e+00 1.966919665986718080e+00 9.130673628169482968e-05
5.339800000000000000e+04 6.510236358747619745e-01 9.079037552317577138e+02 5.033647651410439572e+00 7.252020164593652396e+00 6.612939207696424404e-01 9.324914393370254118e+01 6.885981031403314034e+01 nan 9.172328809338431199e+00 1.945030245093877452e+00 9.302028376395737332e-05
5.349800000000000000e+04 6.518193875714841656e-01 8.445244215105601597e+02 5.243532731098165200e+00 7.373277713281785495e+00 6.595759618051277862e-01 8.683245889363654157e+01 6.213640788615473554e+01 nan 8.527198948592531025e+00 1.976237556460217260e+00 9.580696642864798866e-05
5.359800000000000000e+04 6.526659950852307102e-01 7.637951735773365272e+02 5.409778405431189263e+00 7.349135604408115086e+00 6.578697293233722876e-01 7.948280530599660665e+01 5.466416941673104191e+01 nan 7.715792540173186609e+00 1.959981071345465065e+00 9.964694136469393363e-05
5.369800000000000000e+04 6.535766447279177660e-01 6.748879051990854805e+02 5.525865333965224835e+00 7.208189789894030142e+00 6.562357158782919919e-01 7.186237828293194241e+01 4.697818602529670784e+01 nan 6.803890121896708720e+00 1.968565686826827976e+00 1.048188164195930345e-04
5.379800000000000000e+04 6.545607013899007454e-01 5.851890795737624558e+02 5.584615454195804851e+00 6.974997570552408099e+00 6.547398847064128669e-01 6.454584020146042178e+01 3.945447260708861847e+01 nan 5.887269956548395911e+00 1.961170929921437711e+00 1.116822128674600876e-04
5.389800000000000000e+04 6.556218715934202246e-01 5.009053853863331369e+02 5.587949093535883094e+00 6.673201698769080537e+00 6.534394826455318661e-01 5.796844135298105272e+01 3.238556011070473772e+01 nan 4.979980831171216593e+00 1.934683304979544882e+00 1.205467163159915561e-04
5.399800000000000000e+04 6.567573558397770128e-01 4.265622287086400206e+02 5.531949473752084678e+00 6.327618803484043930e+00 6.523867025223886174e-01 5.251358596211883167e+01 2.597304371113165544e+01 nan 4.269476090266805635e+00 1.939392372145195775e+00 1.315217580742371220e-04
5.409800000000000000e+04 6.579569956410943332e-01 3.646549721565996833e+02 5.429846160486849982e+00 5.963394448647246548e+00 6.516114144565496868e-01 4.827642774025967753e+01 2.041197196962819049e+01 nan 3.649526504746926747e+00 1.931090042235880766e+00 1.439059169444413815e-04
5.419800000000000000e+04 6.592078668138343645e-01 3.151556606815508985e+02 5.301729847389204942e+00 5.601783525959618260e+00 6.511137100034229963e-01 4.522523253511540275e+01 1.575149639609038843e+01 nan 3.150703883947420625e+00 1.947952762480917865e+00 1.574867215631941804e-04
5.429800000000000000e+04 6.604949794107868311e-01 2.767548265617148218e+02 5.161540223635804558e+00 5.258554458328090320e+00 6.508822632920905349e-01 4.320380853533518462e+01 1.197980994952291667e+01 nan 2.756720157001427474e+00 1.941898491984792141e+00 1.716047588908159167e-04
5.439800000000000000e+04 6.618039744637804755e-01 2.474205814001359727e+02 5.020920743595679525e+00 4.943618949243184346e+00 6.508912129334071262e-01 4.202351124975773899e+01 9.045094618120776531e+00 1.102261307686453051e+01 2.468553287708045829e+00 1.939162514166147266e+00 1.855573432845678580e-04
5.449800000000000000e+04 6.631221774788940149e-01 2.251034813480370644e+02 4.885403471044538648e+00 4.662033035272651560e+00 6.511088855200675152e-01 4.145170881929826123e+01 6.870106345381928215e+00 8.418277785917430478e+00 2.241165170930246031e+00 1.933370792154009976e+00 1.960323429539229741e-04
5.459800000000000000e+04 6.644398723032932663e-01 2.078899404280940644e+02 4.757366515293897535e+00 4.414886604959087357e+00 6.514990776464263389e-01 4.130023797817946729e+01 5.328904660297779650e+00 6.568997348984562556e+00 2.068722006366901400e+00 1.952126942986085245e+00 1.960240032582152500e-04
